Name,Desc,PlantType,Color,HardinessZones,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance
Plumeria (Frangipani; Hawaiian Lei Flower),"<p>Plumeria, also known as Frangipani, is a genus of <strong>about 300 species</strong> of flowering tropical plants, native to Central America, Mexico, South America, and the Caribbean. Plumeria species belong to the <strong>Apocynaceae family</strong>, commonly called the dogbane family. They are popular ornamental plants that can be grown as shrubs or small trees.<br/>
Plumeria is a fast growing plant that produces masses of blossoms that bloom from spring until early fall. It is popular for its fragrant, large flowers and beautiful assortment of colors. Once planted, you will definitely love to watch your Plumeria plant grow!</p>","Shrubs, Trees","These flowers can be found in shades of white, yellow, pink and red.",9-11,"Spring, Autumn, Summer","Their sizes vary depending on the variety. Some species can grow up to 10 metres (32 ft) in height, but dwarf varieties are also available.","Plumeria prefers moist, but well drained soil that is slightly acidic.","Full sun, Partial sun",avarage,low
Polygonatum (Solomon's Seal),"<p>Polygonatum is a genus of <strong>about 70 species</strong> of flowering plants in the <strong>family Asparagaceae</strong>, distributed across the temperate regions of the Northern Hemisphere.<br/>
These shade-loving plants produce small, tubular flowers during spring and summer, followed by berries which turn dark blue in late summer. The flowers are pendulous and dangle from slender, arching stems. These are the plants that will add structure, motion and interest to woodland gardens or shady borders. In addition, the gorgeous berries will attract wildlife to your garden, such as hummingbirds and other feathered friends.</p>",Perennials,"The flowers come in white, green or pink, in solid colors or in combinations.",3-8,"Spring, Summer","These plants vary in height from 60 to 200 cm (2 to 7 ft), depending on species.","This plant prefers fertile, moist and well-drained soil. It is not fussy about soil pH,","Partial sun, Shade",avarage,low
Potentilla (Cinquefoil),"<p>Potentilla, widely known as Cinquefoil, is a genus of about <strong>300 species</strong> of flowering plants <strong>in the rose family (Rosaceae)</strong>, native to the Northern Hemisphere.<br/>
Many species have palmate leaves with five leaflets, and delicate five-petaled flowers. These plants are valued for their long bloom time, exceptional hardiness and adaptability. They are attractive to birds, bees, butterflies and pollinating insects, and reasonably tolerant of heat and drought. They are outstanding additions to beds and borders, rock gardens, cottage gardens or as groundcovers.</p>","Annuals, Perennials, Shrubs","The flowers are usually yellow, but can also be white, purple, pink or red.",2-9,"Spring, Autumn, Summer","Cinquefoil range in height from 30 to 120 cm (1 to 4 ft), depending on the varieties.","It will thrive in almost any soil, though it prefers reasonably well-drained and moderately fertile soil. The soil pH should be between 5.0 and 7.0","Full sun, Partial sun",avarage,low
Primula (Primrose),"<p>Primula is a genus of <strong>more than 400 species</strong> of herbaceous perennials in the <strong>family Primulaceae</strong>, widely distributed throughout the world.<br/>
These early bloomers come in a variety of sizes, shapes and colors. They are one of the most popular ornamental plants. With their showy, bright, vibrant flowers that come in array of colors, Primulas are ideal for front borders, beds, edging, paths and walkways, shade gardens and rock gardens.</p>",Perennials,"These flowers come in a wide range of colors, from blue, purple, green and orange to pink, red, yellow and white.",3-9,Spring,The species grows up to 60 cm (2 ft) in height.,"Primulas prefer moist, but well drained soil and grow best in neutral or slightly acidic soil.","Full sun, Partial sun",avarage,low
Protea (Protea),"<p>Protea is a genus of <strong>about 50 species</strong> of shrubs and trees in the <strong>family Proteaceae</strong>. They grow in regions of the southern hemisphere where conditions are particularly dry.<br/>
These plants have leathery leaves and clusters of long, narrow, tubular flowers. Those beautiful “petals” are actually colorful bracts (modified leaves), surrounding a central mass of small, tubular flowers. Proteas are large, exotic and fascinating. They appear in a wide variety of shapes, sizes and colors, and are considered one of the oldest flowers in the world!</p>","Shrubs, Trees","The flowers come in shades of white, purple, red, orange, yellow and green.",8-11,"Spring, Autumn, Winter, Summer",Protea range in height from tiny shrubs to tall trees of 10 meters (33 ft).,"The majority of species prefer well drained, sandy and slightly acidic soil (pH 5.5 to 7.0).",Full sun,low,low
Prunus (Prunus),"<p>Prunus is a large genus of <strong>more than 400 species</strong> of flowering trees and shrubs in the <strong>family Rosaceae</strong>, spread throughout the Northern hemisphere.<br/>
Most species in this genus have simple, usually toothed leaves and beautiful five-petaled flowers in various colors. Prunus species can offer not only a beautiful flowers, but also drupes as fruits, known as stone fruits. The genus contains many fruit tree species of global economic importance. They are mostly deciduous trees known by their common names such as: plum trees, cherry trees, peach trees, apricot trees, almond trees, and collectively as the stone fruit trees.</p>","Shrubs, Trees","Prunus flowers comes in shades of white, pink, purple and red.",2-9,"Spring, Autumn, Winter, Summer","The species range in height from 1,5 metres to 12 metres (5 to 40 ft) tall.","Prunus likes moist and well drained soil that is acidic, neutral or alkaline.",Full sun,avarage,low
Pulmonaria (Lungwort),"<p>Pulmonaria is a genus of <strong>about 15 species</strong> of perennials in the<strong> family Boraginaceae</strong>, native to Europe and Asia.<br/>
These shade-loving plants produce hairy leaves in varying shades of green and small funnel-shaped flowers in a variety of colors. They bloom in late winter or early spring, bringing a bright spot of color to our gardens.</p>",Perennials,"The flowers come in shades of blue, purple, pink and white.",3-9,"Spring, Winter",Pulmonaria can grow up to 30 cm (1 ft) tall.,Pulmonaria likes moist and well drained soil. Most of the species thrive best in soil with a pH in the 7.0 to 7.5 range.,"Partial sun, Shade",avarage,low
Quesnelia (Quesnelia),"<p>Quesnelia is a genus of <strong>about 20 species</strong> of flowering plants in the <strong>family Bromeliaceae</strong>, endemic to eastern and southeastern Brazil.<br/>
These plants form stiff, upright rosettes of solid green leaves. The flowers are cone-shaped and bloom primarily in winter. They are easy to grow and require very little maintenance. They are drought tolerant once established and cold tolerant.</p>","Cactus - Succulents, Perennials","The flowers come in red, blue, pink and yellow colors.",9-12,"Spring, Winter",These plants can grow up to 60 cm (2 ft) in height.,Quesnelia prefers moist and well drained soil. It is not fussy about soil pH.,"Full sun, Partial sun, Shade",avarage,low
Ranunculus (Buttercup; Crowfoot; Spearwort),"<p>Ranunculus is a large genus of <strong>more than 500 species</strong> of flowering plants in the <strong>family Ranunculaceae</strong>, native to Europe, Asia and northwest Africa.<br/>
The species are mostly herbaceous perennials distributed all around the world. If carefully tended, these plants will produce beautiful, showy and bright flowers with five or more petals and numerous pistils and stamens. These long lasting flowers are great for cutting and vase displays.</p>","Annuals, Bulbs, Perennials","The flowers are usually yellow, but may also be white, pink and red.",7-11,"Spring, Summer","Ranunculus can reach a height of between 20 and 60 cm (8 inches to 2 ft), depending on species.",The plant prefers moist and well drained soil. The pH level of the soil should be slightly acidic.,"Full sun, Partial sun",avarage,low
Rhododendron (Rhododendron),"<p>Rhododendron is a genus of <strong>about 1000 species</strong> of shrubs and small trees in the <strong>Ericaceae family</strong>, native to Asia, Europe, North America and Northern Australia.<br/>
Rhododendrons come in various shapes, sizes and bloom times. They are wonderful garden plants grown for their bell-shaped flowers and attractive evergreen foliage. The flowers are colorful, showy and sometimes fragrant.</p>","Shrubs, Trees","Rhododendron blooms in various colors, from pure white to red, orange and pink to gold and purple.",3-11,"Spring, Autumn, Winter, Summer",The species range in size from low ground covers and medium sized shrubs to trees that can reach 25 metres (82 ft) tall.,"Rhododendrons will perform best in moist and well drained soil, with a pH level between 4.5 and 6.0.",Partial sun,avarage,low
Rondeletia (Rondeletia),"<p>Rondeletia is a genus of <strong>about 150 species</strong> of tropical trees and shrubs in the <strong>family Rubiaceae</strong>, native to Central America.<br/>
The plant has glossy, evergreen leaves and small, fragrant flowers that grow in clusters. The flowers have four or five petals and will attract birds and butterflies to your garden.</p>","Shrubs, Trees","The flowers are white, yellow, pink and red, sometimes with yellow centers.",9-11,"Spring, Autumn, Winter, Summer","The plant can grow up to 4,5 metres (15 ft) tall.","Rondeletia will grow best in rich, moist and well drained soil that is slightly acidic.","Full sun, Partial sun",avarage,low
Rosa (Rose),"<p>Rosa, commonly known as Rose, is a genus of <strong>about 150 species</strong> of deciduous or semi-evergreen perennials in the <strong>family Rosaceae</strong>, native to the regions of the Northern Hemisphere.<br/>
Roses are one of the most popular flowers in the world prized for its beauty, as well as its many useful qualities. They are famous for their strong fragrance and attractive multi-petalled flowers surrounded by the strong and sharp thorns of the Rose bush. Flowers vary in size and shape and are often followed by red or purple fruits known as “Rose hips”. Roses are great for any floral occasion. They are present and they are everywhere where love blooms!</p>","Climbers, Roses, Shrubs","Roses range in color from white and yellow to red, pink and purple.",2-10,"Spring, Autumn, Summer",Roses range in size from dwarf species to climbers that can reach 12 metres (40 ft) in height.,"This plant grows best in moist and well drained soil, with a pH level between 5.5 and 7.0.","Full sun, Partial sun",avarage,medium
Rudbeckia (Coneflower),"<p>Rudbeckia is a genus of <strong>about 25 species</strong> of flowering plants, usually perennials, but also annuals and biennials in the <strong>family Asteraceae</strong>, native to woodlands and meadows of North America.<br/>
Rudbeckias are characterised by their colorful daisy-shaped flowers with central cones. They are always a great choice for the late summer border!</p>","Annuals, Perennials","Rudbeckias are mostly yellow, but also can be red and orange, with central cones that can be green, black and brown.",3-9,"Autumn, Summer",This plant grows between 30 and 120 cm (1 to 4 ft) in height.,"Rudbeckia likes moist and well drained soil that is neutral, alkaline or acidic.","Full sun, Partial sun",avarage,low
Salvia (Sage),"<p>Salvia is a genus of <strong>about 1000 species</strong> of annual or perennial herbs and shrubs, distributed throughout the world from Central and South America to Central Asia and Mediterranean Europe. It is the largest genus of plants in the <strong>family Lamiaceae</strong>.<br/>
Salvia, commonly known as Sage, has slender, tubular-shaped and nectar-rich flowers and often aromatic leaves. It is perfect for beds, borders and containers and is great for bringing butterflies and hummingbirds to your garden.</p>","Annuals, Perennials, Shrubs","Salvia blooms in a range of colors, from traditional dark blue to light blue, red, pink, and white.",3-11,"Spring, Autumn, Winter, Summer","Salvia grows from 30 cm to 180 cm (1 to 6 ft) tall, depending on species.","Salvia grows best in moist, but well-drained soil, with a pH level between 6.0 and 7.0.","Full sun, Partial sun",avarage,low
Sandersonia (Christmas Bells; Chinese Lantern Lily),"<p>Sandersonia is a genus in the <strong>family Colchicaceae</strong>, with a <strong>single species – Sandersonia aurantiaca</strong>.<br/>
This plant has lance-shaped leaves and delicate lantern-like flowers borne on long stalks. It grows up to 90 cm (3 ft) tall and usually has climbing habit. The flowers are orange or yellow and are prized as cut flowers because they last long.</p>","Climbers, Perennials",The flowers are orange or yellow.,8-11,"Spring, Summer",This plant grows up to 90 cm (3 ft) in height.,"Sandersonia aurantiaca prefers sandy or loamy soil that is moist, well drained and slightly acidic.",Full sun,avarage,low
Saxifraga (Saxifrage; Rockfoil),"<p>Saxifraga, commonly called Saxifrage or Rockfoil, is a large genus of <strong>about 400 species</strong> of perennials in the <strong>family Saxifragaceae</strong>, native to temperate, subarctic and alpine areas of Europe, Asia and North America.<br/>
This plant produces fine-textured foliage and small bright flowers, usually with five petals, five sepals and ten stamens. Saxifrages are great for rock gardens, containers or along retaining walls.</p>",Perennials,"The flowers are usually white, but may be yellow, purple, pink and red.",3-10,"Spring, Autumn, Winter, Summer",This plant usually reaches about 30 cm (1 ft) in height.,"Appropriate soil type depends on species. In general, these plants like moist and well-drained soil, with a pH level between 6.0 and 8.0.","Full sun, Partial sun, Shade",avarage,low
Scabiosa (Scabious; Pincushion Flower),"<p>Scabiosa is a genus of <strong>about 70 species</strong> of flowering plants in the <strong>family Caprifoliaceae</strong>, native to Africa, Europe and Asia.<br/>
The genus includes both annuals and perennials, and all of these varieties are easy to grow and available in a variety of shapes and colors. Each flower is composed of many individual flowers called florets, which are crowded together. The flowers have long stamens that give them pincushion-like appearance, hence the common name. These gorgeous, nectar-rich flowers are very attractive to butterflies and bees, as well as people. Delicate and full of charm, they make good garden plants.</p>","Annuals, Perennials","These flowers come in different colors including blue, purple, white, yellow, pink and red.",3-9,"Autumn, Summer",Scabiosa typically ranges in height from 15 cm (6 inches) to 60 cm (2 ft).,Scabiosa grows best in rich soil with good drainage and with plenty of sunlight. It can be grown in soils with a pH range from 5.0 to 7.5.,Full sun,avarage,low
Scilla (Squill),"<p>Scilla is a genus of bulbous perennial herbs with <strong>about 100 species</strong> in the <strong>family Asparagaceae</strong>, native mainly to Asia, North Africa and Mediterranean, with a few species coming from Australia and North America.<br/>
Scilla is a beautiful, low-growing plant with attractive spiky, star-shaped or bell-shaped flowers. Different species of Scilla thrive in different growing conditions, often planted to produce beautiful blue colored flowers. These flowers are attractive in rock gardens, woodland gardens and meadows.</p>",Bulbs,"Scilla comes in shades of blue, purple and white. The blue ones are very pretty, some of the best blues to be found among flowers.",2-10,"Spring, Winter","Scilla can grow up to 60 cm (2 ft) high However, some species are less than 10 cm (4 inches) tall.","Scilla likes rich and well drained soil, with a pH level between 6.0 and 8.0. It will not grow well in waterlogged soils.","Full sun, Partial sun",avarage,low
Sedum (Stonecrop),"<p>Sedum, commonly known as Stonecrop, is a large genus of succulent plants  in the <strong>Crassulaceae family</strong>, distributed through the Northern hemisphere with only a few species native to Southern hemisphere. The genus contains <strong>about 500 species</strong> of annuals, evergreen or deciduous perennials and subshrubs.<br/>
Most species have attractive, fleshy leaves and beautiful, star-shaped flowers. Sedums thrive in rock gardens, around stones or alongside pathways and structures, and come in a variety of colors and forms.</p>","Annuals, Cactus - Succulents, Perennials, Shrubs","The flowers come in a rainbow of colors, from red, orange, pink and purple to yellow and white. The foliage can be found in different colors, too.",3-10,"Autumn, Summer","Sedums can grow from 10 to 90 cm (4 inches to 3 ft), depending on variety.","These plants prefer well drained soil that is neutral, alkaline or acidic. The ideal soil pH is between 6.0 and 8.0.","Full sun, Partial sun",low,low
Solidago (Goldenrod),"<p>Solidago, also known as Goldenrod, is a genus of <strong>more than 100 species</strong> of flowering plants in the <strong>family Asteraceae</strong>. Goldenrods are usually herbaceous perennials native to North America.<br/>
These sun-loving plants have long and slender stems with spiky tooth-like parts, and tiny golden-yellow flowers that bloom in thick clusters. Solidago could be a good choice for the back of a garden bed.</p>",Perennials,"Goldenrods come in a bright, golden-yellow color.",3-9,"Autumn, Summer","Goldenrods can grow up to 90 cm (3 ft) in height, while some species are only 10 cm (4 inches) tall.",Solidago grows best in well drained soil that is acidic to neutral.,Full sun,avarage,low
Spiraea (Spirea),"<p>Spiraea, also known as Spirea, is a genus of <strong>more than 100 species</strong> of flowering shrubs in the <strong>family Rosaceae</strong>, native to the temperate regions of the Northern Hemisphere.<br/>
These plants have simple, fine-textured leaves and short racemes, panicles or corymbs of tiny, five-petaled flowers in shades of purple, pink, yellow, cream and white. They are tolerant of some shade, but full sun encourages a profusion of flowers. Spirea deserves a spot in every garden that has room for a small shrub. Once established, this charming garden plant will attract birds and butterflies, making your green space a wildlife heaven.</p>",Shrubs,"The flowers come in shades of purple, pink, yellow, cream and white.",3-9,"Spring, Autumn, Summer","These plants can grow up to 3 m (10 ft) in height, depending on species.","The plant grows in almost any type of soil that is well-drained. The ideal soil pH is between 6.0 and 7.0. If soil is too alkaline (above 7.0), it may reduce the plant's ability to take up some nutrients resulting in the yellowing of foliage (chlorosis).","Full sun, Partial sun",avarage,low
Strelitzia (Bird of Paradise; Crane Flower),"<p>Strelitzia is a genus of <strong>five species</strong> in the <strong>family Strelitziaceae</strong>, native to southern Africa.<br/>
With its vibrant blooms and shape that resembles the head of an exotic bird, Strelitzia is one of the most unusual looking flowers. It produces long-stalked leaves with striking, unique and colorful flowers that makes it look alive, like a brightly colored bird. Strelitzia is one of the most popular tropical flowers that performs well in bouquets and arrangements, adding an often needed tropical flair.</p>","Perennials, Shrubs","The flowers are orange, red, yellow or even blue and purple.",9-12,"Spring, Autumn, Winter, Summer","Strelitzia can grow as tall as 1 m (3 ft) or taller, while some species (Strelitzia nicolai) can reach 10 metres (33 ft) high.","Strelitzia prefers organically rich, moist and well drained soil. The optimal soil pH is between 6.0 and 6.5. If treated well, this plant can produce up to 36 flower spikes a year.","Full sun, Partial sun",avarage,low
Syringa (Lilac),"<p>Syringa, better known as Lilac, is a genus of <strong>about 20 species</strong> of deciduous shrubs or trees in the <strong>olive family (Oleaceae)</strong>, native to Eurasia.<br/>
Lilacs are one of the best known spring-flowering plants. They produce incredibly fragrant, tubular flowers which capture the essence of spring. Lilacs come in different shapes, sizes and colors, encouraging everyone to admire them and use them in different ways.</p>","Shrubs, Trees","Although they get their common name from their most popular color, Lilacs can also be found in other colors such as blue, red, pink, white and yellow.",3-8,"Spring, Summer","Lilacs range in size from 2 to 10 metres (7 to 33 ft) high, depending on species.","These plants prefer fertile, moist, but well-drained soil. The ideal soil pH for growing Lilacs is neutral to alkaline.","Full sun, Partial sun",avarage,low
Tagetes (Marigold),"<p>Tagetes is a genus of <strong>about 50 species</strong> of annuals and perennials in the <strong>family Asteraceae</strong>, native to Central and South America.<br/>
They come in various shapes and sizes, from dwarf to tall growing, and have colorful flowers that are solitary or clustered. Available in various shapes and sizes, these flowers can be used in beds and borders or in containers, and will grow just about anywhere. Start your flower gardening this year with these beautiful flowers!</p>","Annuals, Perennials, Shrubs","Tagetes comes in shades of yellow, orange and even white.",2-11,"Spring, Autumn, Summer","These species range in size from 15 to 80 cm (6 inches to 3 ft) tall, rarely until 2 metres (7 ft).","Tagetes grows in almost any soil, but will perform best in moderately fertile, well-drained soil.",Full sun,avarage,low
Tanacetum (Tanacetum),"<p>Tanacetum is a genus of <strong>about 150 species</strong> in the <strong>family Asteraceae</strong>, native to many regions of the Northern Hemisphere.<br/>
They can be annuals, perennials or sub-<wbr/>shrubs, with feathery aromatic leaves and daisy-like or button-like flowers on woody stems. Some species have yellow disk florets and no ray florets, while others have both ray and disk florets, usually in yellow or white. The most popular species is Tanacetum vulgare, commonly known as Tansy.</p>","Annuals, Perennials, Shrubs","The flowers are usually white or yellow, depending on species.",3-9,Summer,These plants can grow from a few inches to 150 cm (5 ft) tall.,"Tanacetum prefers moist and well-drained soil, but tolerates a wide variety of soils and pH conditions.","Full sun, Partial sun",avarage,medium
Taraxacum (Dandelion),"<p>Taraxacum, widely known as Dandelion, is a large genus of <strong>more than 500 species</strong> of herbaceous perennials in the <strong>Asteraceae family</strong>, native to Eurasia.<br/>
Dandelions are immensely popular and spread all over the world, growing anywhere there is a pinch of soil. They come in various shapes and sizes, with their yellow flowers blooming all season long. These invasive weeds can occupy a variety of environments, giving them an impressive look and magical appearance!</p>",Perennials,"The flowers are usually bright yellow, but they can be darker or even white, such as Taraxacum albidum.",3-10,"Spring, Autumn, Winter, Summer",Dandelions range in height from 5 to 50 cm (2-20 inches) in height.,"Although Dandelions adopt most conditions and grow everywhere, they will grow best in moist areas with fertile and well-drained soil.","Full sun, Partial sun",avarage,low
Tigridia (Tiger Flower; Mexican Shellflower),"<p>Tigridia is a genus of <strong>about 35 species</strong> of bulbous plants in the <strong>family Iridaceae</strong>, native to subtropical and tropical America.<br/>
These eye-catching plants have interesting and unusual shape. They produce attractive sword-like leaves and large, showy, three-petaled flowers in a variety of colors. There is no doubt that Tigridia is one of the most spectacular plant in the summer garden!</p>",Bulbs,"The flowers may be red, yellow, white, cream, orange, scarlet, pink and mauve.",8-11,Summer,These plants usually grow between 30 and 60 cm (1-2 ft) tall.,Tigridia performs best in rich and well-drained soil. It is not too fussy when it comes to soil pH.,"Full sun, Partial sun",avarage,low
Torenia (Wishbone Flower; Bluewings; Clown Flower),"<p>Torenia, widely known as Wishbone Flower, is a genus of <strong>about 15 species</strong> in the <strong>family Linderniaceae</strong>, native to Africa and Southeast Asia.<br/>
This charming plant produces oval or heart-shaped leaves and beautiful bright flowers in shades of purple, blue, pink, yellow and white. These unusual, trumpet-like flowers are two-lipped, with prominent markings on their petals. The plant is suitable for use in garden beds and borders, as well as containers.</p>",Annuals,"The flowers come in shades of purple, blue, pink, yellow and white.",2-11,"Spring, Autumn, Summer",Torenia grows up to 30 cm (1 ft) in height.,"Torenia prefers rich, loamy, moist and well drained soil. The plant is not particular about soil pH, but it does best in a soil that is slightly acidic.","Partial sun, Shade",avarage,medium
Tradescantia (Spiderwort),"<p>Tradescantia, commonly known as Spiderwort, is a genus of plants in the <strong>family Commelinaceae</strong> comprising <strong>about 70 species</strong> of herbaceous perennials native to the New World.<br/>
Most of the species have long, sword-like leaves and three-petaled flowers with contrasting yellow stamens. The flowers are usually bright blue or purple, but are occasionally pink, red and white. Some species are valued for their variegated leaves, while others showcase beautiful flowers at various times throughout the season. These plants are amongst the easiest plants to grow as long as you understand their needs. They are great for borders, edging, hanging baskets or as groundcovers, and can add a lush texture to any garden.</p>",Perennials,"The flowers come in shades of blue, purple, pink, red and white.",4-12,"Spring, Autumn, Summer",This plant can reach up to 90 cm in height.,"Spiderwort prefers fertile, moist and well-drained soil. The soil should be acidic, with a pH range between 5.0 and 6.5.","Full sun, Partial sun, Shade",avarage,low
Tricyrtis (Toad Lily),"<p>Tricyrtis is a genus of <strong>about 20 species</strong> in the <strong>family Liliaceae</strong>, native to moist woodlands and high elevations of eastern Asia.<br/>
These shade-loving perennials produce exotic, orchid-like flowers that bloom in summer and autumn. The flowers have six petals that are covered with hundreds of small purple spots. They are star-shaped or bell-shaped and are often borne on upright, arching stems.</p>",Perennials,"The flowers come in shades of red, purple, white and yellow.",4-9,"Autumn, Summer",Tricyrtis reaches up to 90 cm (3 ft) in height.,"Tricyrtis prefers rich, moist and well-drained soil, with a pH from acid to neutral. The plant is adaptable and can tolerate heat, cold and humidity.","Partial sun, Shade",avarage,low
Trillium (Wake Robins; Birthroot),"<p>Trillium is a genus of <strong>about 50 species</strong> of flowering perennial herbs in the <strong>family Melanthiaceae</strong>, native to Asia and North America.<br/>
This shade-loving plant has three leaves, three petals and three sepals in perfect symmetry. Its unique shape makes it attractive and well recognizable! Trilliums are often fragrant and bloom in spring and summer. They are great in shaded beds and borders, as well as in woodland gardens.</p>",Perennials,"Flower color varies from red, pink, maroon and purple to yellow and white.",3-9,"Spring, Summer",Trillium usually grows between 30 and 60 cm (1-2 ft) in height.,"Trillium performs best in rich, moist and well-drained soil that is neutral to slightly acidic.","Partial sun, Shade",avarage,low
Trollius (Globe Flower),"<p>Trollius, commonly known as Globe Flower, is a genus of <strong>about 30 species</strong> of mostly herbaceous perennials in the <strong>family Ranunculaceae</strong>, native to Europe, Asia and Americas.<br/>
These plants have finely dissected, dark green foliage and large, buttercup-shaped or ball-shaped flowers atop tall stems. They bloom in spring and summer, producing wonderful and bright flowers.</p>",Perennials,"These beautiful flowers bloom in shades of yellow, orange and white.",3-8,"Spring, Summer",Trollius can grow up to 90 cm (3 ft) in height.,"Trollius prefers rich, poorly-drained soil and regular moisture. The ideal soil pH is between 5.0. and 7.0.","Full sun, Partial sun",avarage,low
Tropaeolum (Nasturtium),"<p>Tropaeolum, also known as Nasturtium, is a genus of <strong>about 70 species</strong> in the <strong>family Tropaeolaceae</strong>, native to Central and South America.<br/>
These plants have flowers that are usually funnel-shaped, five-petaled, bright colored and fragrant. They need little care and are always there to please you with their charming appearance!</p>","Annuals, Perennials","Nasturtium comes in red, orange, yellow, purple and cream colors.",2-11,"Spring, Autumn, Summer","Nasturtium vary in height from 20 cm (8 inches) to 3 metres (10 ft), depending on species.",The plant is suitable for sandy and loamy soils with a pH between 5.5 and 7.5. It also grows in nutritionally poor soil.,Full sun,avarage,low
Tulipa (Tulip),"<p>Tulips belong to the genus Tulipa <strong>in the</strong> <strong>lily family (Liliaceae)</strong>. There are <strong>around 100 species</strong> and over 3000 different varieties of cultivated Tulips. They grow wild in Central Asia, through Siberia to China.<br/>
Tulips are one of the most popular spring flowers and one of the most popular flowers worldwide. They come in many varieties of colors and shapes and are great for pots, borders and as cut flowers.</p>","Annuals, Bulbs, Perennials",You will find Tulips in nearly every color and pattern.,3-9,Spring,"Tulips can be short (less than 20 cm or 8 inches), medium (20-45 cm or 8-18 inches) and tall (greater than 45 cm or 18 inches).","These plants prefer fertile, moist, soft and well-drained soil.","Full sun, Partial sun",low,low
Ulex (Gorse; Furze),"<p>Ulex, also known as Gorse or Furze, is a genus composed of <strong>about 15 species</strong> of evergreen shrubs in the <strong>family Fabaceae</strong>, native to western Europe and northwest Africa.<br/>
Most of the species have narrow and thorn-like leaves, with flowers generally being small, pea-shaped and golden yellow. Gorse is in flower through most of the year, hence the saying “<em>When Gorse is out of bloom, kissing is out of season</em>“.</p>",Shrubs,The flowers are usually yellow in color.,6-10,"Spring, Autumn, Winter, Summer",The plant can grow up to 3 metres (10 ft) high.,"The plant grows in most soils, but does best in soil that is sandy and slightly acidic. It appreciates hot sun and dry, poor soil.",Full sun,low,low
Ursinia (African Daisy),"<p>Ursinia is a genus of <strong>about 40 species</strong> of annuals, herbaceous perennials and subshrubs in the <strong>family Asteraceae</strong>, native to South Africa.<br/>
Ursinia is popular for its daisy-like, showy flowers that bloom all season long. The flowers attract bees, as well as other beneficial insects. This is one of the easiest plants to grow and is ideal for beginner gardeners.</p>","Annuals, Perennials","Ursinia has yellow, red or orange flowers.",3-11,"Spring, Autumn, Winter, Summer",Ursinia grows from 20 cm to 60 cm (8 inches to 2 ft) in height.,"Ursinia prefers sandy, fertile and well drained soil.","Full sun, Partial sun",avarage,low
Valeriana (Valerian),"<p>Valeriana is a genus of <strong>more than 250 species</strong> of perennial herbs in the <strong>family Caprifoliaceae</strong>, native to Europe, Asia, South and North America.<br/>
The plant produces a tall stem with clusters of sweetly scented white, pink or lavender flowers. The flowers are star-like, tiny and beautiful. Valerian is a highly valued medicinal plant which has a wide impressive range of traditional medical applications.</p>",Perennials,"The flowers are white, pink or lavender.",4-9,"Autumn, Summer","The plant can reach 1,5 meters (5 ft) in height.","The plant performs best in fertile, moist and well drained soil, with slightly acidic to neutral pH.","Full sun, Partial sun",avarage,low
Verbascum (Mullein),"<p>Verbascum, commonly known as Mullein, is a genus of <strong>more than 100 species</strong> of flowering plants in the <strong>family Scrophulariaceae</strong>, native to Europe and Asia. Most of the species are perennials, meaning they will come back year after year without the need to replant.<br/>
Mullein is a tall and handsome plant with a spear of rich, saucer-shaped flowers that are usually yellow in color. Leaves are silvery, large and somewhat hairy but soft. This sun-loving plant thrives on dry, stony hillsides and open woodlands, standing proud and upright.</p>","Annuals, Perennials","These flowers are primarily bright yellow, but also white, red, purple and pink.",5-10,"Spring, Summer",Mullein has a flower spike that reaches 3 metres (10 ft) high.,Mullein thrives in well-drained soil that is slightly alkaline.,Full sun,low,low
Verbena (Vervain),"<p>Verbena, also known as Vervain, is a genus of <strong>more than 100 species</strong> in the <strong>family Verbenaceae</strong>, native to Asia and America.<br/>
Verbena has beautiful, tiny flowers grouped into rounded clusters. This drought and heat tolerant plant is great for beds, borders, hanging baskets and rock gardens. It is also good for planting in cracks between stones and walls.</p>","Annuals, Perennials","The blooms come in shades of purple, red, pink and white.",3-12,"Autumn, Summer","Verbena grows from 7 cm to 180 cm (3 inches to 6 ft) tall, depending on species.","This plant prefers moist, but well drained soil. It is not particular about soil pH, but it grows best in soil with a pH between 6.0 and 8.0.","Full sun, Partial sun",avarage,low
Veronica (Speedwell),"<p>Veronica is a genus of <strong>about 200 species</strong> of herbaceous perennials in the <strong>family Plantaginaceae</strong>, mostly native to the Northern Hemisphere with some species from the Southern Hemisphere.<br/>
Veronica has tall spikes covered with showy, tubular or saucer-shaped flowers which bloom from spring to autumn. The flowers are so bright and beautiful, and attractive to many pollinators.</p>",Perennials,"Veronica comes in shades of blue, purple, pink and white.",3-11,"Spring, Autumn, Summer","Veronica comes in a wide range of sizes, from dwarfs that rarely exceed 10 cm (4 inches) to large specimens that can grow more than 1,5 metres (5 ft) in height.","This plant prefers moist, but well-drained soil that is neutral, alkaline or acidic.","Full sun, Partial sun",avarage,low
